Syscall Type,Average Duration in nanosecond,Min Duration in nanosecond,Max Duration in nanosecond
sendmsg,9631,171,607766
recvmsg,2395,2,690074
epoll_wait,5960,147,550439
openat,4613,22,1457613
fsync,1804933,1358,2952606
close,407,4,261464
lseek,653,273,30994
write,10319,378,1695096
newfstat,580,25,442426
getuid,640,168,56176
mkdir,8400,921,227556
access,10430,73,3211262
futex,34809,90,3684020
read,24085,22,1802529
poll,9708,346,4122562
newstat,5163,445,3683501
dup,810,215,1707
newfstatat,5952,1043,2429423
fstatfs,781,423,28449
fcntl,589,217,152727
getdents,14598,318,1958942
unlinkat,5228,1183,47591
name_to_handle_at,1937,1381,4787
rmdir,3631,1274,6509
memfd_create,7945,7616,8273
rt_sigprocmask,1101,368,8859
clone,190191,14135,728414
set_robust_list,935,344,1988
prctl,5431,310,213476
geteuid,699,165,2254
mmap,4259,203,312315
rt_sigaction,588,241,69853
getppid,772,357,1561
alarm,4607,3706,5508
getpid,1779,167,67906
dup2,773,228,2181
execve,411513,6127,1889153
brk,2558,470,125682
mprotect,5148,110,89793
arch_prctl,1794,970,7590
munmap,6305,1063,630819
umask,843,179,1669
getrandom,1081,306,69370
getgid,439,181,586
getegid,361,168,588
pipe,7225,7225,7225
fadvise64,29199,308,1786401
statfs,7709,1145,22776
quotactl,2622,2254,2990
unlink,10048,3088,28763
recvfrom,6566,397,78037
sendto,51837,7442,381411
sched_yield,1113,25,201652
sigaltstack,3252,258,47006
gettid,1218,163,8383
getpriority,887,837,937
sched_getaffinity,3804,2906,4599
madvise,13532,365,728843
set_tid_address,3918,805,65017
prlimit64,1077,266,8407
ioctl,22434,265,619519
sync_file_range,84775,617,1077380
epoll_pwait,1955,306,7786
nanosleep,168012,11033,3588597
newlstat,3484,1025,1403016
readlinkat,4419,1361,409183
splice,105873,5283,1226002
symlink,6700,1825,39198
shutdown,1956,1272,3199
waitid,5126,1360,14846
socket,12046,2587,44856
setsockopt,1482,459,3005
accept4,13151,11266,18852
getsockopt,1534,339,8568
ftruncate,23112,15501,37091
setpriority,2286,2286,2286
rename,252565,5500,1831832
timerfd_settime,9203,1291,68456
newuname,1943,522,4430
readlink,3592,1678,34517
epoll_ctl,1275,323,129754
inotify_add_watch,9145,1075,193153
kcmp,378,342,147533
kill,3225,634,50399
connect,18825,4386,99016
inotify_init1,3451,1792,5322
pipe2,6053,2699,15524
ppoll,1882,914,4231
setxattr,6187,4498,19995
bpf,25666,842,1118675
wait4,10901,1480,21657
getsockname,1301,799,2065
writev,12358,1396,134684
dup3,829,508,1150
chdir,8349,8349,8349
unknown,1260,1177,1343
utimensat,8077,2029,19366
fchmod,3890,713,13014
flock,8411,4899,10327
fchown,8054,8054,8054
renameat,79661,16797,162839
getdents64,7706,365,666328
mkdirat,53251,40729,65772
eventfd2,8056,7276,8836
setitimer,2585,713,23757
pread64,1228,418,58227
select,1829,1829,1829
seccomp,1342,211,4125
epoll_create1,4181,2671,6000
bind,2355,1110,3745
signalfd4,8684,8346,9021
inotify_rm_watch,13639,3226,51488
chmod,18379,18379,18379
sysinfo,6100,5140,7060
symlinkat,48540,23614,93375
open,6069,1849,1529042
getrlimit,1866,1710,2021
link,10432,8525,13893
timerfd_create,4391,2401,9408
accept,4952,3203,6701
